PEWC6800;COPY
AC2CCO04;CHECK SI PUNTO DESPUES DE BLOB
LP2CAE02;CHECK EXECUTE 
LP2COI02;CHECK EXECUTE 
LP2COP02;CHECK EXECUTE
BG2CIF16;TRANSFER MALO
CN1CMD21;CHECK X'9'
CN1CPIU1;MALO WTRC0-DESCRIPCION 914
CN1CZC00;RETORNOS DE CARRO
CS2C060 ;VER COMENTARIOS CON D
CS2C080 ;VER COMENTARIOS CON D
CS2CA60 ;VER COMENTARIOS CON D
CS2CR060;ERROR DE CARACTER QUE NO SE IDENTIFICAR EN LA LINEA 26
CS2CR080;VER COMENTARIOS CON D
EI2CR400;PROBLEMA DEL INSPECT
EI2CR600;PROBLEMA DEL INSPECT
FE2C3202;TRANSFER MALO
GM2C1020;VER COMENTARIOS CON D
GP2C2550;REVISAR
GP2CQ300;REVISAR, EL INSPECT 
GP2CTR01;INSPECT
IH1CAD44;MALO. NO COMPILA 47
IT2C0CW0;REVISAR	
JY2CJYK2;DATOS BINARIOS
KN1C0920;DATOS CON RETORNOS DE CARRO
KN1CCP20;REVISAR. AUTHOR
KN1CTK20;TOCAR CBL, LIB QUOTE
KN2CKNV2;REVISAR
KN2CKNV3;REVISAR
KN2CKNV4;REVISAR
KN2CKNV6;REVISAR
KN2CKNVC;REVISAR FUNCTION
KN2CKNVF;INSPECT
KN2CKNVG;FUNCTION
KN2CKNVI;FUNCTION
KN2CKNVL;FUNCTION
KN2CKNVS;FUNCTION
KN2CKNVU;FUNCTION
KN2CKNVX;FUNCTION
KN2CKNVY;FUNCTION
KN2CKNVZ;FUNCTION
LP1CAE01;EXECUTE
LP1COI01;EXECUTE
LP1COP01;EXECUTE 
MCWCNRIS;COPY MALA CON DATOS BINARIOS
MA1CINTR;ensamblador
MCWCNRIB;COPY CON DATOS BINARIOS
MCWCNRIG;COPY CON DATOS BINARIOS
MA2CGAS1;REVISAR
MC1CMSFA;DATOS BINARIOS
MC1CMSFB;DATOS BINARIOS
MC1CMSFC;DATOS BINARIOS
MC1CMSFD;DATOS BINARIOS
MC1CMSFE;DATOS BINARIOS
MC1CMSFF;DATOS BINARIOS
MC1CMSFG;DATOS BINARIOS
MC1CMSFH;DATOS BINARIOS
MP2C1020;MIRAR EL COPY REPLACING
MP2CCB02;REVISAR
NL1CINT1;ENSAMBLADOR
NL1CINT2;ENSAMBLADOR
NL1CINT3;ENSAMBLADOR
OO2C004K;INSPECT
PE2C0550;INSPECT
PE2C1850;COPY REPLACING
PE2C18F0;COPY REPLACING
PM2CPMZ1;INSPECT
QC1CAP62;REVISAR DFHVALUE
QG2C0550;REVISAR ALL 394
QK2C0PP0;REVISAR CLASS Y COMA
QM1CWMN ;REVISAR
QM2CMSU ;REVISAR
QY2CCM02;REVISAR CBL ....
QY2CTKCL;REVISAR FUNCTION
WZECB050;BAD;COPY CON REPLACE
WZECD770;BAD;COPY CON REPLACE
QY2CCM03;REVISAR CBL ....
QY2CL203;REVISAR CBL ....
QY2CW203;REVISAR CBL ....
RG2C0920;REVISAR CBL ....
RL2CCRL0;BAD;SAPCES
RY2C0920;REVISAR
RY4C0431;BAD. IDENTIFICATION
S15CXRKG;REVISAR. TITLE
UH2CHI14;inspect
UPNCCGP;COPY MALO
UE2CVJE0;ADD
UE2CVME0;ADD
UE2CVNE0;ADD
QG1CINT1;ASSEMBLER
QG1CINT2;ASSEMBLER
QG1CINT3;ASSEMBLER
QG1CINT4;ASSEMBLER
QG1CINT5;ASSEMBLER
RC2C0420;REVISAR
RC2C0710;REVISAR
S15CXRKG;ENSAMBLADOR
VB2C0400;revisar $
RC2C0920;REVISAR
SA2C7800;REVISAR INSPECT
